用户ID,性别,年龄,肤质,是否会员,常用省份
U00037852,男,39,中性,是,四川
U00037853,女,24,敏感肌,是,江苏
U00037854,男,23,干性/混干,否,广东
U00037855,女,23,油性/混油,是,北京
U00037856,女,22,敏感肌,是,江苏
U00037857,女,23,干性/混干,否,广东
U00037858,女,39,油性/混油,否,上海
U00037859,女,36,敏感肌,否,湖北
U00037860,男,18,敏感肌,否,河南
U00037861,女,27,油性/混油,否,浙江
U00037862,女,22,油性/混油,是,北京
U00037863,女,38,干性/混干,否,四川
U00037864,女,28,敏感肌,是,浙江
U00037865,男,19,油性/混油,否,河南
U00037866,女,33,干性/混干,是,北京
U00037867,女,36,敏感肌,是,江苏
U00037868,女,24,油性/混油,否,广东
U00037869,女,29,敏感肌,否,浙江
U00037870,男,24,敏感肌,是,山东
U00037871,女,41,敏感肌,是,上海
U00037872,女,28,敏感肌,否,湖北
U00037873,女,26,油性/混油,否,湖北
U00037874,女,31,敏感肌,是,广东
U00037875,男,30,敏感肌,是,湖北
U00037876,男,37,中性,是,湖北
U00037877,女,41,油性/混油,是,四川
U00037878,女,41,中性,是,上海
U00037879,男,28,干性/混干,否,浙江
U00037880,男,34,干性/混干,否,上海
U00037881,女,43,干性/混干,是,北京
U00037882,女,44,中性,是,浙江
U00037883,女,24,中性,否,上海
U00037884,男,36,敏感肌,否,江苏
U00037885,女,35,敏感肌,否,上海
U00037886,男,39,干性/混干,否,湖北
U00037887,男,41,敏感肌,否,浙江
U00037888,男,23,中性,否,浙江
U00037889,女,26,油性/混油,是,广东
U00037890,男,39,干性/混干,否,山东
U00037891,女,33,干性/混干,是,上海
U00037892,男,18,中性,否,河南
U00037893,女,18,干性/混干,是,广东
U00037894,男,37,油性/混油,是,湖北
U00037895,女,38,敏感肌,是,四川
U00037896,女,21,敏感肌,否,北京
U00037897,女,40,中性,是,江苏
U00037898,男,30,敏感肌,否,湖北
U00037899,女,23,油性/混油,否,山东
U00037900,女,27,敏感肌,否,湖北
U00037901,男,22,油性/混油,否,江苏
U00037902,女,27,干性/混干,否,四川
U00037903,男,18,干性/混干,否,广东
U00037904,女,31,敏感肌,是,山东
U00037905,女,36,干性/混干,否,河南
U00037906,男,21,油性/混油,否,广东
U00037907,女,32,敏感肌,是,湖北
U00037908,女,25,敏感肌,否,河南
U00037909,女,37,油性/混油,是,北京
U00037910,男,18,中性,否,四川
U00037911,女,37,敏感肌,是,山东
U00037912,女,18,干性/混干,否,北京
U00037913,女,30,油性/混油,是,湖北
U00037914,女,26,干性/混干,是,河南
U00037915,女,29,油性/混油,是,河南
U00037916,男,19,干性/混干,否,上海
U00037917,女,45,油性/混油,否,河南
U00037918,女,21,敏感肌,否,江苏
U00037919,女,22,油性/混油,是,四川
U00037920,女,46,干性/混干,是,湖南
U00037921,男,34,敏感肌,否,上海
U00037922,女,21,敏感肌,否,江苏
U00037923,男,30,干性/混干,否,江苏
U00037924,男,30,油性/混油,否,江苏
U00037925,女,18,油性/混油,否,江苏
U00037926,女,25,干性/混干,是,北京
U00037927,男,31,油性/混油,否,北京
U00037928,男,42,干性/混干,是,湖北
U00037929,女,30,干性/混干,否,四川
U00037930,女,31,中性,是,浙江
U00037931,男,25,敏感肌,否,浙江
U00037932,女,40,油性/混油,是,四川
U00037933,女,39,油性/混油,否,山东
U00037934,女,38,油性/混油,否,江苏
U00037935,女,32,油性/混油,否,四川
U00037936,男,19,敏感肌,否,广东
U00037937,女,40,中性,是,江苏
U00037938,女,32,敏感肌,是,江苏
U00037939,女,29,干性/混干,否,江苏
U00037940,男,35,中性,否,湖北
U00037941,女,33,中性,否,山东
U00037942,男,23,油性/混油,否,河南
U00037943,女,29,油性/混油,是,浙江
U00037944,女,18,中性,否,广东
U00037945,男,32,敏感肌,否,江苏
U00037946,女,42,干性/混干,是,河南
U00037947,男,18,干性/混干,否,广东
U00037948,女,33,干性/混干,否,四川
U00037949,男,37,敏感肌,否,上海
U00037950,女,38,油性/混油,否,广东
U00037951,女,26,油性/混油,否,北京
U00037952,男,23,油性/混油,是,江苏
U00037953,男,27,油性/混油,是,江苏
U00037954,男,41,干性/混干,否,北京
U00037955,女,18,敏感肌,否,北京
U00037956,女,22,干性/混干,是,江苏
U00037957,女,28,干性/混干,是,广东
U00037958,男,24,敏感肌,否,广东
U00037959,女,31,敏感肌,否,浙江
U00037960,女,43,敏感肌,否,湖南
U00037961,女,22,敏感肌,是,浙江
U00037962,女,30,干性/混干,是,广东
U00037963,女,31,中性,否,河南
U00037964,女,29,干性/混干,否,江苏
U00037965,女,19,敏感肌,否,广东
U00037966,女,26,中性,是,浙江
U00037967,女,26,中性,是,广东
U00037968,男,37,敏感肌,否,北京
U00037969,女,35,干性/混干,是,湖南
U00037970,女,19,敏感肌,是,浙江
U00037971,女,28,敏感肌,是,上海
U00037972,女,27,敏感肌,是,广东
U00037973,男,47,油性/混油,否,浙江
U00037974,男,34,敏感肌,是,广东
U00037975,女,23,中性,否,北京
U00037976,女,25,干性/混干,是,江苏
U00037977,女,28,敏感肌,是,广东
U00037978,男,34,油性/混油,否,山东
U00037979,女,35,油性/混油,是,河南
U00037980,女,33,干性/混干,是,四川
U00037981,女,30,干性/混干,是,江苏
U00037982,女,30,敏感肌,是,广东
U00037983,男,30,中性,否,江苏
U00037984,女,18,中性,是,江苏
U00037985,男,31,油性/混油,否,山东
U00037986,男,27,油性/混油,否,广东
U00037987,女,18,干性/混干,是,广东
U00037988,女,51,干性/混干,否,浙江
U00037989,女,34,油性/混油,否,上海
U00037990,女,32,中性,否,北京
U00037991,女,29,干性/混干,是,浙江
U00037992,男,37,油性/混油,是,山东
U00037993,女,22,油性/混油,是,江苏
U00037994,女,29,干性/混干,否,江苏
U00037995,女,24,油性/混油,否,湖北
U00037996,女,37,敏感肌,是,河南
U00037997,男,25,敏感肌,否,湖北
U00037998,男,40,中性,否,北京
U00037999,女,31,敏感肌,是,广东
U00038000,女,38,干性/混干,是,浙江
U00038001,女,35,中性,是,湖北
U00038002,男,40,敏感肌,否,湖南
U00038003,女,24,中性,否,广东
U00038004,女,39,敏感肌,是,浙江
U00038005,男,18,干性/混干,否,广东
U00038006,男,32,油性/混油,否,浙江
U00038007,男,27,油性/混油,否,北京
U00038008,男,20,油性/混油,否,广东
U00038009,女,24,油性/混油,是,四川
U00038010,女,26,油性/混油,否,广东
U00038011,女,30,油性/混油,是,北京
U00038012,男,27,中性,否,湖南
U00038013,男,32,中性,否,四川
U00038014,女,25,敏感肌,是,江苏
U00038015,女,28,敏感肌,是,上海
U00038016,女,29,油性/混油,是,广东
U00038017,女,33,油性/混油,否,河南
U00038018,女,38,敏感肌,否,上海
U00038019,女,38,敏感肌,否,北京
U00038020,男,33,干性/混干,否,浙江
U00038021,女,35,油性/混油,否,上海
U00038022,女,34,中性,否,上海
U00038023,女,29,敏感肌,否,山东
U00038024,女,39,油性/混油,是,河南
U00038025,女,24,干性/混干,是,浙江
U00038026,女,18,油性/混油,否,江苏
U00038027,女,23,油性/混油,是,北京
U00038028,女,43,敏感肌,否,江苏
U00038029,男,29,敏感肌,否,北京
U00038030,女,34,油性/混油,是,上海
U00038031,女,29,油性/混油,是,山东
U00038032,女,36,油性/混油,是,江苏
U00038033,男,32,敏感肌,否,河南
U00038034,男,31,油性/混油,否,湖北
U00038035,男,36,敏感肌,是,山东
U00038036,男,28,中性,否,江苏
U00038037,女,34,油性/混油,是,江苏
U00038038,女,30,中性,否,河南
U00038039,男,31,油性/混油,否,湖南
U00038040,女,25,干性/混干,是,湖北
U00038041,男,30,敏感肌,否,浙江
U00038042,女,27,干性/混干,否,浙江
U00038043,男,41,中性,否,北京
U00038044,女,18,干性/混干,否,上海
U00038045,女,39,油性/混油,是,浙江
U00038046,女,18,干性/混干,是,湖南
U00038047,女,36,敏感肌,是,江苏
U00038048,女,25,敏感肌,否,广东
U00038049,女,36,敏感肌,否,江苏
U00038050,男,31,干性/混干,是,广东
U00038051,男,20,中性,否,四川
U00038052,女,42,油性/混油,否,上海
U00038053,女,38,油性/混油,是,广东
U00038054,女,36,敏感肌,否,广东
U00038055,男,26,油性/混油,是,河南
U00038056,女,38,油性/混油,否,广东
U00038057,男,21,敏感肌,否,湖南
U00038058,男,18,敏感肌,否,上海
U00038059,女,19,油性/混油,是,浙江
U00038060,女,24,油性/混油,否,上海
U00038061,女,25,敏感肌,是,广东
U00038062,男,28,敏感肌,否,上海
U00038063,女,28,中性,否,广东
U00038064,女,26,油性/混油,是,湖南
U00038065,女,18,油性/混油,否,湖南
U00038066,男,33,敏感肌,是,上海
U00038067,女,29,敏感肌,是,湖北
U00038068,女,26,干性/混干,否,北京
U00038069,男,43,敏感肌,否,广东
U00038070,女,30,干性/混干,否,广东
U00038071,女,32,中性,否,北京
U00038072,女,38,油性/混油,否,广东
U00038073,女,20,干性/混干,否,广东
U00038074,男,31,中性,是,湖北
U00038075,女,38,油性/混油,是,四川
U00038076,女,31,干性/混干,是,广东
U00038077,男,21,敏感肌,否,广东
U00038078,男,28,干性/混干,否,广东
U00038079,女,33,中性,是,浙江
U00038080,女,18,油性/混油,否,湖南
U00038081,男,21,油性/混油,否,广东
U00038082,男,47,敏感肌,否,浙江
U00038083,男,35,干性/混干,否,浙江
U00038084,女,43,干性/混干,否,北京
U00038085,女,38,油性/混油,否,北京
U00038086,男,35,中性,否,山东
U00038087,女,29,干性/混干,否,河南
U00038088,女,35,油性/混油,否,北京
U00038089,男,43,油性/混油,否,河南
U00038090,女,38,敏感肌,是,河南
U00038091,女,33,油性/混油,否,广东
U00038092,男,30,干性/混干,是,江苏
U00038093,男,35,油性/混油,否,广东
U00038094,女,27,中性,是,浙江
U00038095,男,35,敏感肌,是,浙江
U00038096,女,26,敏感肌,否,北京
U00038097,女,29,敏感肌,否,四川
U00038098,男,23,干性/混干,是,北京
U00038099,女,28,敏感肌,否,浙江
U00038100,女,26,油性/混油,否,广东
U00038101,女,45,干性/混干,否,浙江
U00038102,女,24,干性/混干,否,湖南
U00038103,女,35,油性/混油,否,湖北
U00038104,女,24,中性,是,湖北
U00038105,女,32,干性/混干,是,四川
U00038106,女,34,敏感肌,否,山东
U00038107,女,18,中性,否,广东
U00038108,女,20,油性/混油,否,四川
U00038109,女,24,敏感肌,否,上海
U00038110,女,21,干性/混干,否,浙江
U00038111,女,32,干性/混干,是,浙江
U00038112,女,33,油性/混油,是,广东
U00038113,男,23,油性/混油,否,广东
U00038114,女,32,油性/混油,否,江苏
U00038115,女,28,油性/混油,是,广东
U00038116,男,31,干性/混干,否,广东
U00038117,女,26,油性/混油,是,江苏
U00038118,女,35,干性/混干,否,广东
U00038119,女,45,干性/混干,否,湖南
U00038120,女,38,敏感肌,是,浙江
U00038121,女,43,干性/混干,是,浙江
U00038122,男,20,敏感肌,是,四川
U00038123,男,26,油性/混油,否,湖北
U00038124,女,36,干性/混干,是,四川
U00038125,男,44,敏感肌,否,四川
U00038126,男,37,敏感肌,否,湖南
U00038127,男,23,敏感肌,否,河南
U00038128,女,28,敏感肌,是,广东
U00038129,女,34,油性/混油,是,江苏
U00038130,女,30,敏感肌,是,浙江
U00038131,女,25,干性/混干,是,浙江
U00038132,男,29,干性/混干,否,广东
U00038133,女,31,敏感肌,否,江苏
U00038134,女,23,油性/混油,否,北京
U00038135,男,39,敏感肌,否,湖北
U00038136,女,28,油性/混油,是,上海
U00038137,女,31,油性/混油,是,上海
U00038138,男,40,中性,否,广东
U00038139,女,31,敏感肌,否,广东
U00038140,女,39,油性/混油,是,湖北
U00038141,男,23,干性/混干,否,北京
U00038142,女,35,敏感肌,否,山东
U00038143,女,38,中性,是,浙江
U00038144,女,25,油性/混油,否,浙江
U00038145,女,30,干性/混干,是,广东
U00038146,男,30,敏感肌,否,浙江
U00038147,女,33,油性/混油,是,北京
U00038148,女,35,干性/混干,否,湖北
U00038149,女,24,中性,否,江苏
U00038150,女,31,干性/混干,是,浙江
U00038151,女,44,干性/混干,是,四川
U00038152,女,40,敏感肌,是,江苏
U00038153,女,38,干性/混干,是,湖北
U00038154,男,30,敏感肌,是,河南
U00038155,女,49,油性/混油,否,浙江
U00038156,男,40,敏感肌,否,江苏
U00038157,女,32,敏感肌,否,江苏
U00038158,女,33,敏感肌,否,四川
U00038159,女,28,油性/混油,是,江苏
U00038160,女,35,干性/混干,是,四川
U00038161,男,36,干性/混干,是,广东
U00038162,男,37,敏感肌,否,浙江
U00038163,男,30,干性/混干,否,四川
U00038164,男,20,油性/混油,是,山东
U00038165,女,33,油性/混油,是,湖北
U00038166,男,37,干性/混干,否,山东
U00038167,女,24,敏感肌,否,河南
U00038168,男,31,干性/混干,否,浙江
U00038169,男,42,敏感肌,否,山东
U00038170,女,22,中性,否,广东
U00038171,女,29,中性,是,四川
U00038172,女,43,干性/混干,否,山东
U00038173,女,33,油性/混油,否,浙江
U00038174,男,27,油性/混油,是,北京
U00038175,女,31,干性/混干,是,湖南
U00038176,女,38,敏感肌,是,四川
U00038177,女,30,油性/混油,是,北京
U00038178,女,36,敏感肌,是,上海
U00038179,女,33,油性/混油,是,广东
U00038180,男,34,敏感肌,否,江苏
U00038181,女,37,油性/混油,是,河南
U00038182,男,29,干性/混干,否,浙江
U00038183,女,24,中性,是,广东
U00038184,女,35,中性,是,北京
U00038185,女,30,敏感肌,否,北京
U00038186,女,28,中性,是,浙江
U00038187,女,36,敏感肌,是,上海
U00038188,男,42,油性/混油,否,湖南
U00038189,女,30,敏感肌,是,江苏
U00038190,女,32,敏感肌,是,广东
U00038191,女,22,干性/混干,是,北京
U00038192,女,30,中性,是,浙江
U00038193,女,33,中性,否,河南
U00038194,女,31,中性,是,浙江
U00038195,女,29,油性/混油,否,广东
U00038196,女,37,油性/混油,否,河南
U00038197,男,32,中性,否,广东
U00038198,女,52,油性/混油,是,四川
U00038199,女,33,敏感肌,否,江苏
U00038200,女,18,中性,是,北京
U00038201,男,23,油性/混油,是,广东
U00038202,女,36,敏感肌,否,上海
U00038203,女,26,干性/混干,否,江苏
U00038204,女,27,油性/混油,否,广东
U00038205,女,22,油性/混油,是,广东
U00038206,女,28,干性/混干,否,江苏
U00038207,女,33,中性,是,河南
U00038208,女,35,敏感肌,是,上海
U00038209,女,23,干性/混干,否,湖南
U00038210,女,38,干性/混干,是,四川
U00038211,女,22,油性/混油,是,浙江
U00038212,女,35,敏感肌,否,山东
U00038213,女,34,油性/混油,是,上海
U00038214,女,24,敏感肌,是,河南
U00038215,男,23,油性/混油,否,湖北
U00038216,女,35,敏感肌,否,浙江
U00038217,女,27,敏感肌,否,浙江
U00038218,女,30,中性,否,四川
U00038219,女,37,干性/混干,是,上海
U00038220,女,35,敏感肌,是,浙江
U00038221,女,24,油性/混油,是,河南
U00038222,男,31,干性/混干,否,浙江
U00038223,男,24,敏感肌,是,山东
U00038224,男,38,中性,否,上海
U00038225,女,44,中性,否,广东
U00038226,男,25,干性/混干,是,湖南
U00038227,女,31,干性/混干,是,湖北
U00038228,女,39,干性/混干,是,北京
U00038229,女,32,油性/混油,是,广东
U00038230,男,36,油性/混油,是,浙江
U00038231,男,32,干性/混干,否,上海
U00038232,男,23,中性,否,江苏
U00038233,女,32,中性,是,北京
U00038234,女,41,干性/混干,是,山东
U00038235,女,34,中性,是,山东
U00038236,男,44,中性,否,河南
U00038237,女,18,油性/混油,否,广东
U00038238,女,35,干性/混干,是,四川
U00038239,女,26,敏感肌,是,上海
U00038240,女,24,油性/混油,是,广东
U00038241,男,42,油性/混油,否,北京
U00038242,女,29,中性,是,江苏
U00038243,女,29,油性/混油,是,湖北
U00038244,女,34,干性/混干,是,浙江
U00038245,女,18,敏感肌,是,湖北
U00038246,女,42,干性/混干,是,浙江
U00038247,女,47,干性/混干,是,湖南
U00038248,女,39,敏感肌,是,湖南
U00038249,男,35,干性/混干,否,山东
U00038250,男,30,敏感肌,是,湖北
U00038251,男,23,干性/混干,否,浙江
U00038252,女,41,干性/混干,否,北京
U00038253,男,39,中性,是,江苏
U00038254,男,35,干性/混干,否,上海
U00038255,女,34,中性,是,四川
U00038256,男,34,干性/混干,是,湖北
U00038257,女,27,油性/混油,否,上海
U00038258,女,52,敏感肌,是,浙江
U00038259,女,29,干性/混干,否,广东
U00038260,男,28,敏感肌,否,北京
U00038261,女,40,油性/混油,是,广东
U00038262,男,31,中性,否,河南
U00038263,女,31,敏感肌,是,浙江
U00038264,男,43,干性/混干,否,河南
U00038265,女,37,敏感肌,否,北京
U00038266,女,37,敏感肌,否,广东
U00038267,女,20,敏感肌,是,河南
U00038268,女,35,敏感肌,否,广东
U00038269,女,23,中性,是,浙江
U00038270,男,28,油性/混油,否,广东
U00038271,男,33,敏感肌,否,上海
U00038272,女,31,中性,是,广东
U00038273,女,37,敏感肌,否,湖南
U00038274,女,38,干性/混干,是,江苏
U00038275,女,38,油性/混油,否,浙江
U00038276,女,21,中性,否,浙江
U00038277,女,50,干性/混干,是,江苏
U00038278,女,31,敏感肌,是,广东
U00038279,女,41,干性/混干,否,河南
U00038280,女,18,干性/混干,是,江苏
U00038281,男,29,干性/混干,是,广东
U00038282,女,20,敏感肌,否,浙江
U00038283,女,25,敏感肌,否,广东
U00038284,男,32,中性,是,广东
U00038285,女,29,干性/混干,是,北京
U00038286,女,42,油性/混油,否,湖北
U00038287,女,46,敏感肌,否,浙江
U00038288,女,24,中性,否,山东
U00038289,女,28,敏感肌,否,北京
U00038290,女,23,敏感肌,是,广东
U00038291,女,41,中性,是,湖北
U00038292,女,33,敏感肌,是,广东
U00038293,男,32,敏感肌,否,上海
U00038294,女,34,油性/混油,否,山东
U00038295,女,29,敏感肌,否,上海
U00038296,男,25,中性,否,山东
U00038297,女,32,油性/混油,否,北京
U00038298,女,29,中性,否,湖南
U00038299,男,34,敏感肌,否,湖北
U00038300,女,18,油性/混油,否,浙江
U00038301,女,33,干性/混干,是,广东
U00038302,男,26,中性,否,湖北
U00038303,女,33,油性/混油,是,广东
U00038304,女,39,敏感肌,是,浙江
U00038305,女,27,敏感肌,是,广东
U00038306,女,41,敏感肌,是,江苏
U00038307,女,18,油性/混油,否,江苏
U00038308,女,44,中性,是,广东
U00038309,男,41,敏感肌,否,浙江
U00038310,女,24,干性/混干,否,湖北
U00038311,女,24,中性,否,广东
U00038312,女,20,干性/混干,是,山东
U00038313,男,39,油性/混油,否,浙江
U00038314,女,29,油性/混油,否,广东
U00038315,女,28,敏感肌,是,上海
U00038316,女,23,敏感肌,是,上海
U00038317,女,46,敏感肌,否,江苏
U00038318,女,24,敏感肌,否,浙江
U00038319,女,32,油性/混油,是,四川
U00038320,男,33,干性/混干,否,浙江
U00038321,男,28,敏感肌,是,河南
U00038322,女,27,敏感肌,是,上海
U00038323,男,29,油性/混油,是,广东
U00038324,女,36,油性/混油,否,广东
U00038325,女,29,油性/混油,是,江苏
U00038326,女,45,敏感肌,是,上海
U00038327,男,25,干性/混干,是,浙江
U00038328,女,38,油性/混油,否,河南
U00038329,男,18,油性/混油,否,上海
U00038330,女,25,干性/混干,是,山东
U00038331,男,25,敏感肌,否,浙江
U00038332,女,23,干性/混干,否,浙江
U00038333,女,34,中性,是,浙江
U00038334,男,31,敏感肌,否,山东
U00038335,女,18,敏感肌,否,河南
U00038336,女,47,敏感肌,否,上海
U00038337,女,33,干性/混干,否,河南
U00038338,女,32,中性,是,江苏
U00038339,男,42,油性/混油,否,广东
U00038340,女,39,敏感肌,是,北京
U00038341,男,29,干性/混干,否,上海
U00038342,女,18,干性/混干,是,河南
U00038343,女,36,敏感肌,是,广东
U00038344,女,24,敏感肌,否,广东
U00038345,女,41,敏感肌,否,北京
U00038346,女,25,敏感肌,是,江苏
U00038347,女,28,中性,是,广东
U00038348,女,21,干性/混干,是,河南
U00038349,女,21,敏感肌,是,浙江
U00038350,女,31,油性/混油,是,浙江
U00038351,女,30,油性/混油,是,上海
U00038352,女,28,中性,是,河南
U00038353,男,48,油性/混油,否,上海
U00038354,女,36,敏感肌,是,北京
U00038355,女,32,中性,否,浙江
U00038356,男,18,干性/混干,否,浙江
U00038357,男,38,干性/混干,否,河南
U00038358,女,55,干性/混干,是,浙江
U00038359,女,30,干性/混干,是,上海
U00038360,女,25,油性/混油,是,江苏
U00038361,男,33,油性/混油,否,江苏
U00038362,男,20,敏感肌,否,湖北
U00038363,女,35,敏感肌,否,广东
U00038364,女,44,干性/混干,否,四川
U00038365,女,26,油性/混油,是,上海
U00038366,女,26,敏感肌,是,广东
U00038367,男,31,敏感肌,否,江苏
U00038368,女,27,敏感肌,否,江苏
U00038369,女,19,敏感肌,否,浙江
U00038370,男,28,油性/混油,否,北京
U00038371,男,27,干性/混干,否,广东
U00038372,女,42,敏感肌,是,广东
U00038373,男,41,油性/混油,是,广东
U00038374,女,43,敏感肌,否,广东
U00038375,女,38,敏感肌,是,广东
U00038376,女,33,干性/混干,是,广东
U00038377,女,25,油性/混油,否,广东
U00038378,男,42,油性/混油,是,湖南
U00038379,女,34,油性/混油,否,北京
U00038380,男,22,干性/混干,否,北京
U00038381,女,24,敏感肌,是,上海
U00038382,女,21,敏感肌,否,江苏
U00038383,男,18,敏感肌,否,河南
U00038384,女,35,干性/混干,否,上海
U00038385,女,22,干性/混干,是,广东
U00038386,女,25,敏感肌,否,山东
U00038387,女,32,中性,是,广东
U00038388,男,30,中性,否,江苏
U00038389,女,26,干性/混干,否,河南
U00038390,女,44,敏感肌,是,江苏
U00038391,女,19,油性/混油,否,浙江
U00038392,男,20,干性/混干,否,山东
U00038393,女,35,敏感肌,是,北京
U00038394,女,26,油性/混油,是,江苏
U00038395,女,26,中性,是,四川
U00038396,女,23,中性,否,四川
U00038397,女,34,中性,否,上海
U00038398,女,33,敏感肌,是,北京
U00038399,女,32,干性/混干,是,上海
U00038400,女,27,干性/混干,否,江苏
U00038401,男,25,干性/混干,是,广东
U00038402,女,30,油性/混油,是,上海
U00038403,男,39,敏感肌,是,江苏
U00038404,女,44,中性,否,山东
U00038405,女,40,干性/混干,是,上海
U00038406,男,36,干性/混干,否,上海
U00038407,女,39,油性/混油,是,广东
U00038408,女,22,干性/混干,是,北京
U00038409,男,26,干性/混干,是,广东
U00038410,女,36,敏感肌,否,广东
U00038411,女,31,中性,是,江苏
U00038412,女,34,敏感肌,否,江苏
U00038413,女,39,敏感肌,是,浙江
U00038414,男,38,敏感肌,否,江苏
U00038415,女,23,敏感肌,是,广东
U00038416,女,32,敏感肌,否,山东
U00038417,女,24,油性/混油,否,浙江
U00038418,女,25,油性/混油,否,上海
U00038419,女,18,中性,否,浙江
U00038420,女,33,中性,否,浙江
U00038421,女,18,中性,否,四川
U00038422,女,35,敏感肌,是,山东
U00038423,女,42,敏感肌,否,浙江
U00038424,女,36,油性/混油,是,江苏
U00038425,女,32,油性/混油,否,四川
U00038426,男,44,敏感肌,是,山东
U00038427,女,34,敏感肌,否,北京
U00038428,女,25,敏感肌,否,北京
U00038429,女,33,敏感肌,是,湖北
U00038430,男,47,干性/混干,否,浙江
U00038431,男,23,干性/混干,否,北京
U00038432,女,20,干性/混干,否,广东
U00038433,女,36,油性/混油,是,湖北
U00038434,女,30,油性/混油,否,江苏
U00038435,女,27,敏感肌,否,广东
U00038436,女,21,敏感肌,是,广东
U00038437,女,18,油性/混油,是,江苏
U00038438,女,20,敏感肌,否,湖北
U00038439,男,44,敏感肌,否,江苏
U00038440,女,31,敏感肌,是,上海
U00038441,女,18,油性/混油,是,广东
U00038442,女,41,中性,是,江苏
U00038443,女,41,干性/混干,是,湖北
U00038444,女,41,中性,是,浙江
U00038445,女,28,敏感肌,是,四川
U00038446,女,29,中性,是,上海
U00038447,女,33,敏感肌,是,广东
U00038448,女,43,干性/混干,否,山东
U00038449,女,27,油性/混油,是,江苏
U00038450,女,25,干性/混干,是,山东
U00038451,女,37,干性/混干,是,浙江
U00038452,男,41,敏感肌,是,北京
U00038453,女,31,敏感肌,否,广东
U00038454,女,37,干性/混干,是,北京
U00038455,女,32,油性/混油,是,江苏
U00038456,女,29,干性/混干,是,北京
U00038457,女,25,干性/混干,是,广东
U00038458,女,22,中性,否,广东
U00038459,女,27,中性,否,北京
U00038460,女,24,敏感肌,否,江苏
U00038461,女,34,敏感肌,是,江苏
U00038462,女,41,干性/混干,是,湖南
U00038463,女,33,干性/混干,否,浙江
U00038464,女,24,干性/混干,否,广东
U00038465,女,38,敏感肌,是,广东
U00038466,女,34,油性/混油,否,江苏
U00038467,男,35,敏感肌,是,北京
U00038468,女,27,油性/混油,是,湖南
U00038469,男,41,中性,是,湖北
U00038470,男,41,油性/混油,否,浙江
U00038471,女,30,敏感肌,否,江苏
U00038472,女,37,干性/混干,否,浙江
U00038473,女,40,油性/混油,否,四川
U00038474,女,28,油性/混油,否,河南
U00038475,男,31,干性/混干,否,四川
U00038476,女,32,油性/混油,否,湖南
U00038477,女,23,中性,是,湖南
U00038478,女,35,油性/混油,否,北京
U00038479,女,40,敏感肌,是,浙江
U00038480,男,30,敏感肌,否,浙江
U00038481,女,34,油性/混油,是,浙江
U00038482,女,43,敏感肌,否,浙江
U00038483,女,28,干性/混干,是,江苏
U00038484,女,34,中性,是,浙江
U00038485,女,27,敏感肌,否,北京
U00038486,男,27,敏感肌,否,河南
U00038487,女,34,敏感肌,否,四川
U00038488,男,33,干性/混干,否,浙江
U00038489,女,36,中性,是,河南
U00038490,男,32,干性/混干,否,广东
U00038491,女,35,敏感肌,否,广东
U00038492,女,45,油性/混油,是,山东
U00038493,女,40,敏感肌,否,山东
U00038494,女,34,干性/混干,是,上海
U00038495,女,36,干性/混干,是,广东
U00038496,女,29,敏感肌,是,江苏
U00038497,男,30,敏感肌,否,湖北
U00038498,男,35,干性/混干,否,上海
U00038499,女,32,敏感肌,否,广东
U00038500,女,38,敏感肌,是,北京
U00038501,男,42,敏感肌,否,北京
U00038502,女,31,敏感肌,否,北京
U00038503,女,18,敏感肌,是,北京
U00038504,女,48,敏感肌,否,山东
U00038505,男,26,油性/混油,否,上海
U00038506,女,33,干性/混干,否,广东
U00038507,女,37,油性/混油,否,四川
U00038508,男,43,敏感肌,否,上海
U00038509,男,46,敏感肌,否,山东
U00038510,女,29,敏感肌,否,上海
U00038511,女,41,油性/混油,是,江苏
U00038512,女,33,油性/混油,是,河南
U00038513,男,53,敏感肌,否,湖南
U00038514,女,40,中性,否,广东
U00038515,男,30,中性,是,广东
U00038516,女,25,油性/混油,否,河南
U00038517,女,18,中性,否,广东
U00038518,女,37,干性/混干,是,河南
U00038519,女,40,敏感肌,是,浙江
U00038520,女,37,敏感肌,是,湖北
U00038521,女,18,干性/混干,否,上海
U00038522,女,21,敏感肌,是,上海
U00038523,男,35,敏感肌,是,四川
U00038524,男,46,敏感肌,否,北京
U00038525,女,31,油性/混油,是,四川
U00038526,女,40,干性/混干,是,广东
U00038527,女,23,油性/混油,是,江苏
U00038528,女,33,油性/混油,否,江苏
U00038529,男,29,中性,否,浙江
U00038530,女,41,敏感肌,否,广东
U00038531,女,27,敏感肌,否,广东
U00038532,男,45,中性,否,湖南
U00038533,女,29,中性,是,湖南
U00038534,女,23,中性,是,广东
U00038535,女,23,敏感肌,否,湖南
U00038536,男,27,中性,否,北京
U00038537,女,34,油性/混油,是,上海
U00038538,女,27,中性,是,湖北
U00038539,女,25,敏感肌,是,江苏
U00038540,女,39,油性/混油,否,四川
U00038541,男,18,油性/混油,否,广东
U00038542,女,28,干性/混干,否,四川
U00038543,男,21,中性,否,北京
U00038544,女,25,油性/混油,是,上海
U00038545,女,33,敏感肌,是,四川
U00038546,女,30,油性/混油,否,浙江
U00038547,女,29,中性,是,湖北
U00038548,男,41,中性,否,河南
U00038549,女,31,油性/混油,否,湖南
U00038550,女,46,敏感肌,否,浙江
U00038551,女,37,油性/混油,否,广东
U00038552,女,24,干性/混干,是,广东
