用户ID,性别,年龄,肤质,会员,RFM分类,聚类
U00002394,女,43,,否,高价值沉睡用户,
U00002395,男,42,,是,潜力发展用户,
U00002396,女,26,,否,高价值沉睡用户,
U00002397,女,61,,是,核心价值用户,
U00002398,女,19,,否,潜力发展用户,
U00002399,女,32,,否,核心价值用户,
U00002400,女,23,,否,高价值沉睡用户,
U00002401,女,31,,是,高价值沉睡用户,
U00002402,男,63,,是,高价值沉睡用户,
U00002403,男,22,,否,核心价值用户,
U00002404,男,58,,是,核心价值用户,
U00002405,女,38,,否,低价值/流失用户,
U00002406,女,49,,否,高价值沉睡用户,
U00002407,女,51,,否,潜力发展用户,
U00002408,女,51,,否,核心价值用户,
U00002409,女,47,,是,高价值沉睡用户,
U00002410,女,33,,否,高价值沉睡用户,
U00002411,男,60,,否,潜力发展用户,
U00002412,女,31,,否,高价值沉睡用户,
U00002413,男,38,,是,高价值沉睡用户,
U00002414,女,45,,是,潜力发展用户,
U00002415,女,45,,否,潜力发展用户,
U00002416,女,51,,是,潜力发展用户,
U00002417,女,22,,是,核心价值用户,
U00002418,女,30,,否,核心价值用户,
U00002419,男,57,,否,高价值沉睡用户,
U00002420,男,43,,否,潜力发展用户,
U00002421,女,31,,否,高价值沉睡用户,
U00002422,女,32,,否,核心价值用户,
U00002423,女,28,,否,核心价值用户,
U00002424,男,58,,是,核心价值用户,
U00002425,女,29,,否,潜力发展用户,
U00002426,女,58,,否,高价值沉睡用户,
U00002427,女,24,,否,潜力发展用户,
U00002428,女,57,,否,核心价值用户,
U00002429,女,30,,是,核心价值用户,
U00002430,女,59,,否,核心价值用户,
U00002431,女,36,,是,核心价值用户,
U00002432,男,63,,否,高价值沉睡用户,
U00002433,男,52,,是,潜力发展用户,
U00002434,女,55,,否,潜力发展用户,
U00002435,女,24,,是,核心价值用户,
U00002436,女,20,,否,核心价值用户,
U00002437,女,52,,否,核心价值用户,
U00002438,女,59,,是,高价值沉睡用户,
U00002439,女,21,,是,高价值沉睡用户,
U00002440,男,35,,否,潜力发展用户,
U00002441,男,46,,是,潜力发展用户,
U00002442,女,49,,否,高价值沉睡用户,
U00002443,女,43,,是,潜力发展用户,
U00002444,男,36,,是,核心价值用户,
U00002445,女,41,,否,高价值沉睡用户,
U00002446,女,58,,否,潜力发展用户,
U00002447,男,47,,否,潜力发展用户,
U00002448,男,20,,否,核心价值用户,
U00002449,女,34,,否,核心价值用户,
U00002450,男,32,,否,高价值沉睡用户,
U00002451,女,51,,是,潜力发展用户,
U00002452,男,57,,是,潜力发展用户,
U00002453,男,19,,否,潜力发展用户,
U00002454,女,19,,是,低价值/流失用户,
U00002455,男,64,,否,高价值沉睡用户,
U00002456,男,46,,是,核心价值用户,
U00002457,女,63,,否,高价值沉睡用户,
U00002458,女,25,,是,低价值/流失用户,
U00002459,女,47,,否,核心价值用户,
U00002460,女,54,,否,高价值沉睡用户,
U00002461,女,36,,否,低价值/流失用户,
U00002462,女,34,,否,潜力发展用户,
U00002463,女,61,,否,核心价值用户,
U00002464,女,39,,否,低价值/流失用户,
U00002465,女,23,,否,潜力发展用户,
U00002466,女,59,,否,高价值沉睡用户,
U00002467,男,61,,否,潜力发展用户,
U00002468,女,43,,是,低价值/流失用户,
U00002469,女,58,,是,高价值沉睡用户,
U00002470,女,39,,否,高价值沉睡用户,
U00002471,女,57,,否,潜力发展用户,
U00002472,男,31,,否,潜力发展用户,
U00002473,女,22,,否,低价值/流失用户,
U00002474,女,45,,否,潜力发展用户,
U00002475,女,58,,是,潜力发展用户,
U00002476,女,62,,否,核心价值用户,
U00002477,男,21,,否,低价值/流失用户,
U00002478,女,18,,否,潜力发展用户,
U00002479,男,60,,是,核心价值用户,
U00002480,女,26,,是,潜力发展用户,
U00002481,男,60,,否,潜力发展用户,
U00002482,男,18,,否,核心价值用户,
U00002483,女,59,,否,核心价值用户,
U00002484,女,22,,否,高价值沉睡用户,
U00002485,女,34,,否,高价值沉睡用户,
U00002486,男,45,,否,高价值沉睡用户,
U00002487,女,32,,否,核心价值用户,
U00002488,男,37,,否,潜力发展用户,
U00002489,女,44,,否,高价值沉睡用户,
U00002490,女,52,,是,核心价值用户,
U00002491,男,23,,是,核心价值用户,
U00002492,女,39,,否,高价值沉睡用户,
U00002493,男,62,,是,高价值沉睡用户,
U00002494,女,60,,是,潜力发展用户,
U00002495,女,28,,否,潜力发展用户,
U00002496,男,44,,是,高价值沉睡用户,
U00002497,女,60,,是,低价值/流失用户,
U00002498,男,36,,是,高价值沉睡用户,
U00002499,女,62,,是,核心价值用户,
U00002500,女,48,,否,潜力发展用户,
U00002501,女,62,,是,核心价值用户,
U00002502,女,49,,否,潜力发展用户,
U00002503,女,48,,是,潜力发展用户,
U00002504,女,37,,否,核心价值用户,
U00002505,男,34,,是,高价值沉睡用户,
U00002506,女,44,,否,潜力发展用户,
U00002507,女,61,,否,潜力发展用户,
U00002508,男,50,,否,高价值沉睡用户,
U00002509,男,57,,是,高价值沉睡用户,
U00002510,女,22,,否,高价值沉睡用户,
U00002511,女,29,,否,高价值沉睡用户,
U00002512,女,44,,是,低价值/流失用户,
U00002513,女,21,,否,核心价值用户,
U00002514,女,62,,否,潜力发展用户,
U00002515,女,26,,否,核心价值用户,
U00002516,女,54,,否,潜力发展用户,
U00002517,女,57,,是,高价值沉睡用户,
U00002518,女,40,,否,潜力发展用户,
U00002519,女,46,,否,核心价值用户,
U00002520,女,36,,否,高价值沉睡用户,
U00002521,女,30,,否,高价值沉睡用户,
U00002522,女,39,,是,潜力发展用户,
U00002523,女,33,,否,潜力发展用户,
U00002524,男,52,,是,核心价值用户,
U00002525,女,26,,是,潜力发展用户,
U00002526,男,54,,否,潜力发展用户,
U00002527,女,19,,否,潜力发展用户,
U00002528,女,43,,是,高价值沉睡用户,
U00002529,女,42,,否,高价值沉睡用户,
U00002530,女,41,,是,潜力发展用户,
U00002531,女,38,,否,高价值沉睡用户,
U00002532,女,57,,是,潜力发展用户,
U00002533,女,20,,否,潜力发展用户,
U00002534,女,54,,否,核心价值用户,
U00002535,男,34,,否,低价值/流失用户,
U00002536,女,28,,是,潜力发展用户,
U00002537,女,40,,否,潜力发展用户,
U00002538,女,54,,否,核心价值用户,
U00002539,女,18,,否,潜力发展用户,
U00002540,女,36,,否,高价值沉睡用户,
U00002541,女,53,,否,低价值/流失用户,
U00002542,女,19,,否,核心价值用户,
U00002543,男,20,,否,潜力发展用户,
U00002544,女,65,,否,核心价值用户,
U00002545,女,49,,否,高价值沉睡用户,
U00002546,女,26,,是,高价值沉睡用户,
U00002547,女,54,,是,潜力发展用户,
U00002548,男,30,,否,核心价值用户,
U00002549,女,56,,是,低价值/流失用户,
U00002550,男,48,,是,核心价值用户,
U00002551,女,29,,是,高价值沉睡用户,
U00002552,女,20,,是,高价值沉睡用户,
U00002553,女,58,,是,潜力发展用户,
U00002554,男,34,,是,低价值/流失用户,
U00002555,男,53,,是,低价值/流失用户,
U00002556,女,45,,否,核心价值用户,
U00002557,女,21,,否,潜力发展用户,
U00002558,女,50,,否,高价值沉睡用户,
U00002559,女,49,,否,潜力发展用户,
U00002560,女,52,,否,潜力发展用户,
U00002561,女,49,,否,潜力发展用户,
U00002562,女,30,,是,潜力发展用户,
U00002563,男,27,,否,潜力发展用户,
U00002564,女,46,,是,核心价值用户,
U00002565,男,30,,是,潜力发展用户,
U00002566,女,45,,是,高价值沉睡用户,
U00002567,男,65,,是,高价值沉睡用户,
U00002568,女,39,,否,高价值沉睡用户,
U00002569,女,46,,是,核心价值用户,
U00002570,女,42,,否,高价值沉睡用户,
U00002571,男,39,,是,低价值/流失用户,
U00002572,男,53,,是,高价值沉睡用户,
U00002573,女,59,,是,潜力发展用户,
U00002574,女,44,,否,潜力发展用户,
U00002575,女,38,,是,核心价值用户,
U00002576,女,54,,是,核心价值用户,
U00002577,女,64,,否,潜力发展用户,
U00002578,男,54,,否,核心价值用户,
U00002579,女,49,,否,高价值沉睡用户,
U00002580,女,44,,否,高价值沉睡用户,
U00002581,女,47,,否,潜力发展用户,
U00002582,男,35,,是,潜力发展用户,
U00002583,女,63,,否,潜力发展用户,
U00002584,男,39,,是,核心价值用户,
U00002585,男,20,,否,高价值沉睡用户,
U00002586,女,23,,是,高价值沉睡用户,
U00002587,男,47,,否,潜力发展用户,
U00002588,女,18,,是,潜力发展用户,
U00002589,男,29,,否,核心价值用户,
U00002590,女,49,,否,高价值沉睡用户,
U00002591,男,48,,是,潜力发展用户,
U00002592,女,30,,是,核心价值用户,
U00002593,女,61,,否,核心价值用户,
U00002594,女,55,,否,核心价值用户,
U00002595,女,58,,否,潜力发展用户,
U00002596,女,26,,是,潜力发展用户,
U00002597,男,62,,否,核心价值用户,
U00002598,女,23,,否,潜力发展用户,
U00002599,女,54,,否,潜力发展用户,
U00002600,女,51,,否,低价值/流失用户,
U00002601,女,49,,是,高价值沉睡用户,
U00002602,女,43,,否,潜力发展用户,
U00002603,男,37,,否,核心价值用户,
U00002604,女,27,,否,潜力发展用户,
U00002605,男,36,,否,核心价值用户,
U00002606,女,21,,否,高价值沉睡用户,
U00002607,女,37,,是,高价值沉睡用户,
U00002608,女,22,,否,高价值沉睡用户,
U00002609,女,39,,否,核心价值用户,
U00002610,男,49,,否,核心价值用户,
U00002611,女,37,,否,高价值沉睡用户,
U00002612,女,52,,是,高价值沉睡用户,
U00002613,男,41,,是,核心价值用户,
U00002614,女,54,,否,高价值沉睡用户,
U00002615,女,28,,否,核心价值用户,
U00002616,女,41,,否,潜力发展用户,
U00002617,女,53,,否,潜力发展用户,
U00002618,女,54,,是,潜力发展用户,
U00002619,女,47,,否,核心价值用户,
U00002620,女,26,,是,核心价值用户,
U00002621,男,61,,否,潜力发展用户,
U00002622,女,26,,是,高价值沉睡用户,
U00002623,男,29,,否,高价值沉睡用户,
U00002624,男,35,,否,潜力发展用户,
U00002625,女,26,,是,潜力发展用户,
U00002626,女,27,,否,核心价值用户,
U00002627,男,62,,否,核心价值用户,
U00002628,女,57,,否,潜力发展用户,
U00002629,女,64,,否,潜力发展用户,
U00002630,女,45,,是,高价值沉睡用户,
U00002631,男,25,,否,高价值沉睡用户,
U00002632,女,62,,是,潜力发展用户,
U00002633,女,19,,否,高价值沉睡用户,
U00002634,女,52,,否,潜力发展用户,
U00002635,女,57,,否,潜力发展用户,
U00002636,男,21,,是,高价值沉睡用户,
U00002637,女,43,,否,潜力发展用户,
U00002638,男,65,,是,核心价值用户,
U00002639,女,22,,是,核心价值用户,
U00002640,女,22,,是,低价值/流失用户,
U00002641,女,52,,是,潜力发展用户,
U00002642,男,61,,是,潜力发展用户,
U00002643,女,25,,否,高价值沉睡用户,
U00002644,女,55,,否,核心价值用户,
U00002645,男,26,,否,高价值沉睡用户,
U00002646,男,35,,否,核心价值用户,
U00002647,女,58,,是,核心价值用户,
U00002648,女,23,,否,核心价值用户,
U00002649,女,39,,是,高价值沉睡用户,
U00002650,男,41,,是,低价值/流失用户,
U00002651,女,34,,是,核心价值用户,
U00002652,男,26,,否,高价值沉睡用户,
U00002653,女,51,,否,核心价值用户,
U00002654,女,45,,是,核心价值用户,
U00002655,女,40,,是,低价值/流失用户,
U00002656,男,61,,否,核心价值用户,
U00002657,女,50,,否,高价值沉睡用户,
U00002658,女,22,,否,低价值/流失用户,
U00002659,女,63,,否,高价值沉睡用户,
U00002660,女,33,,否,低价值/流失用户,
U00002661,男,57,,否,核心价值用户,
U00002662,女,23,,是,潜力发展用户,
U00002663,女,42,,否,核心价值用户,
U00002664,男,62,,否,核心价值用户,
U00002665,女,54,,是,低价值/流失用户,
U00002666,男,44,,否,核心价值用户,
U00002667,女,41,,否,核心价值用户,
U00002668,女,57,,否,低价值/流失用户,
U00002669,女,20,,否,潜力发展用户,
U00002670,女,45,,否,高价值沉睡用户,
U00002671,女,58,,否,潜力发展用户,
U00002672,女,61,,否,核心价值用户,
U00002673,女,22,,是,核心价值用户,
U00002674,女,53,,否,低价值/流失用户,
U00002675,女,61,,否,核心价值用户,
U00002676,男,34,,是,高价值沉睡用户,
U00002677,女,55,,是,核心价值用户,
U00002678,男,49,,否,高价值沉睡用户,
U00002679,男,34,,是,潜力发展用户,
U00002680,女,29,,否,潜力发展用户,
U00002681,女,45,,否,潜力发展用户,
U00002682,女,33,,否,高价值沉睡用户,
U00002683,女,55,,是,核心价值用户,
U00002684,女,32,,否,潜力发展用户,
U00002685,男,21,,是,核心价值用户,
U00002686,女,54,,否,核心价值用户,
U00002687,女,39,,是,高价值沉睡用户,
U00002688,女,39,,否,潜力发展用户,
U00002689,男,32,,是,潜力发展用户,
U00002690,女,65,,是,高价值沉睡用户,
U00002691,女,40,,是,潜力发展用户,
U00002692,男,55,,否,高价值沉睡用户,
U00002693,女,52,,是,潜力发展用户,
U00002694,女,47,,否,低价值/流失用户,
U00002695,女,25,,是,核心价值用户,
U00002696,男,22,,否,核心价值用户,
U00002697,男,31,,否,核心价值用户,
U00002698,女,45,,否,低价值/流失用户,
U00002699,女,59,,是,潜力发展用户,
U00002700,女,44,,否,潜力发展用户,
U00002701,女,61,,否,核心价值用户,
U00002702,女,45,,否,潜力发展用户,
U00002703,男,49,,否,核心价值用户,
U00002704,女,55,,否,核心价值用户,
U00002705,男,51,,否,核心价值用户,
U00002706,女,60,,否,潜力发展用户,
U00002707,女,65,,是,低价值/流失用户,
U00002708,女,18,,否,核心价值用户,
U00002709,女,43,,否,潜力发展用户,
U00002710,女,18,,是,潜力发展用户,
U00002711,女,22,,是,高价值沉睡用户,
U00002712,女,26,,是,潜力发展用户,
U00002713,女,51,,是,低价值/流失用户,
U00002714,男,50,,否,潜力发展用户,
U00002715,男,24,,否,核心价值用户,
U00002716,女,22,,否,潜力发展用户,
U00002717,女,60,,否,潜力发展用户,
U00002718,女,52,,否,核心价值用户,
U00002719,女,42,,否,低价值/流失用户,
U00002720,男,48,,是,高价值沉睡用户,
U00002721,男,58,,否,核心价值用户,
U00002722,女,20,,否,核心价值用户,
U00002723,女,27,,否,潜力发展用户,
U00002724,女,29,,否,高价值沉睡用户,
U00002725,女,23,,否,核心价值用户,
U00002726,女,50,,是,核心价值用户,
U00002727,女,43,,否,高价值沉睡用户,
U00002728,女,59,,是,潜力发展用户,
U00002729,女,25,,否,高价值沉睡用户,
U00002730,男,49,,否,高价值沉睡用户,
U00002731,女,25,,是,低价值/流失用户,
U00002732,女,29,,否,潜力发展用户,
U00002733,女,63,,否,核心价值用户,
U00002734,女,22,,是,核心价值用户,
U00002735,女,50,,是,核心价值用户,
U00002736,女,63,,否,高价值沉睡用户,
U00002737,女,36,,否,潜力发展用户,
U00002738,女,49,,是,核心价值用户,
U00002739,女,56,,否,潜力发展用户,
U00002740,男,57,,否,核心价值用户,
U00002741,女,41,,否,潜力发展用户,
U00002742,女,34,,是,高价值沉睡用户,
U00002743,男,38,,是,高价值沉睡用户,
U00002744,女,29,,否,潜力发展用户,
U00002745,女,33,,否,高价值沉睡用户,
U00002746,男,54,,否,低价值/流失用户,
U00002747,女,61,,是,潜力发展用户,
U00002748,女,46,,是,潜力发展用户,
U00002749,女,23,,否,低价值/流失用户,
U00002750,男,50,,否,核心价值用户,
U00002751,女,28,,是,高价值沉睡用户,
U00002752,女,32,,否,核心价值用户,
U00002753,女,52,,是,核心价值用户,
U00002754,女,55,,否,核心价值用户,
U00002755,男,22,,否,低价值/流失用户,
U00002756,女,62,,是,核心价值用户,
U00002757,女,30,,是,高价值沉睡用户,
U00002758,女,63,,是,高价值沉睡用户,
U00002759,女,33,,是,低价值/流失用户,
U00002760,女,58,,否,高价值沉睡用户,
U00002761,女,31,,否,核心价值用户,
U00002762,女,18,,否,核心价值用户,
U00002763,女,61,,否,核心价值用户,
U00002764,男,35,,否,核心价值用户,
U00002765,女,36,,否,核心价值用户,
U00002766,男,21,,是,核心价值用户,
U00002767,女,28,,否,潜力发展用户,
U00002768,男,49,,否,低价值/流失用户,
U00002769,女,39,,否,低价值/流失用户,
U00002770,女,30,,是,高价值沉睡用户,
U00002771,男,31,,否,高价值沉睡用户,
U00002772,女,60,,是,潜力发展用户,
U00002773,男,24,,否,核心价值用户,
U00002774,女,47,,是,高价值沉睡用户,
U00002775,女,54,,否,潜力发展用户,
U00002776,女,54,,是,潜力发展用户,
U00002777,男,63,,是,潜力发展用户,
U00002778,女,51,,是,核心价值用户,
U00002779,女,49,,否,潜力发展用户,
U00002780,男,48,,是,潜力发展用户,
U00002781,女,44,,否,高价值沉睡用户,
U00002782,女,31,,否,核心价值用户,
U00002783,女,36,,是,核心价值用户,
U00002784,女,51,,是,低价值/流失用户,
U00002785,女,21,,否,核心价值用户,
U00002786,男,58,,否,高价值沉睡用户,
U00002787,女,60,,否,潜力发展用户,
U00002788,女,38,,是,高价值沉睡用户,
U00002789,女,37,,否,核心价值用户,
U00002790,女,46,,是,潜力发展用户,
U00002791,女,20,,否,核心价值用户,
U00002792,女,19,,否,核心价值用户,
U00002793,男,29,,否,高价值沉睡用户,
U00002794,女,51,,否,低价值/流失用户,
U00002795,男,52,,是,核心价值用户,
U00002796,女,19,,否,潜力发展用户,
U00002797,男,35,,否,高价值沉睡用户,
U00002798,男,47,,是,潜力发展用户,
U00002799,男,60,,是,低价值/流失用户,
U00002800,女,54,,是,高价值沉睡用户,
U00002801,女,65,,否,高价值沉睡用户,
U00002802,女,59,,是,低价值/流失用户,
U00002803,男,21,,否,低价值/流失用户,
U00002804,男,21,,否,潜力发展用户,
U00002805,男,40,,否,核心价值用户,
U00002806,女,36,,是,潜力发展用户,
U00002807,男,41,,否,高价值沉睡用户,
U00002808,女,57,,否,潜力发展用户,
U00002809,男,64,,否,潜力发展用户,
U00002810,女,40,,是,高价值沉睡用户,
U00002811,女,20,,是,高价值沉睡用户,
U00002812,女,39,,否,潜力发展用户,
U00002813,男,38,,否,核心价值用户,
U00002814,女,48,,否,高价值沉睡用户,
U00002815,女,55,,是,潜力发展用户,
U00002816,女,61,,是,高价值沉睡用户,
U00002817,女,26,,否,核心价值用户,
U00002818,女,39,,否,核心价值用户,
U00002819,男,37,,否,核心价值用户,
U00002820,女,65,,是,潜力发展用户,
U00002821,男,55,,否,潜力发展用户,
U00002822,女,57,,是,核心价值用户,
U00002823,女,58,,是,低价值/流失用户,
U00002824,女,35,,否,高价值沉睡用户,
U00002825,女,29,,是,核心价值用户,
U00002826,女,47,,否,高价值沉睡用户,
U00002827,女,31,,否,核心价值用户,
U00002828,男,29,,是,潜力发展用户,
U00002829,女,29,,是,核心价值用户,
U00002830,男,64,,否,高价值沉睡用户,
U00002831,女,28,,否,核心价值用户,
U00002832,女,19,,是,潜力发展用户,
U00002833,女,63,,否,低价值/流失用户,
U00002834,女,59,,否,低价值/流失用户,
U00002835,男,26,,是,核心价值用户,
U00002836,男,52,,否,潜力发展用户,
U00002837,女,52,,否,高价值沉睡用户,
U00002838,女,47,,否,高价值沉睡用户,
U00002839,女,52,,否,高价值沉睡用户,
U00002840,男,48,,否,潜力发展用户,
U00002841,女,25,,否,低价值/流失用户,
U00002842,女,34,,否,核心价值用户,
U00002843,男,59,,是,潜力发展用户,
U00002844,男,52,,是,高价值沉睡用户,
U00002845,女,33,,是,潜力发展用户,
U00002846,女,63,,是,高价值沉睡用户,
U00002847,女,35,,否,低价值/流失用户,
U00002848,女,54,,是,潜力发展用户,
U00002849,女,32,,否,低价值/流失用户,
U00002850,女,33,,否,潜力发展用户,
U00002851,女,32,,否,潜力发展用户,
U00002852,女,46,,否,潜力发展用户,
U00002853,男,27,,否,高价值沉睡用户,
U00002854,女,45,,是,核心价值用户,
U00002855,女,27,,否,低价值/流失用户,
U00002856,男,19,,否,核心价值用户,
U00002857,女,39,,是,潜力发展用户,
U00002858,男,37,,否,高价值沉睡用户,
U00002859,女,60,,否,核心价值用户,
U00002860,女,26,,否,潜力发展用户,
U00002861,女,64,,是,潜力发展用户,
U00002862,男,48,,否,潜力发展用户,
U00002863,女,29,,是,潜力发展用户,
U00002864,女,38,,否,高价值沉睡用户,
U00002865,男,25,,否,核心价值用户,
U00002866,男,60,,否,核心价值用户,
U00002867,男,31,,否,核心价值用户,
U00002868,女,47,,否,高价值沉睡用户,
U00002869,女,19,,是,高价值沉睡用户,
U00002870,女,59,,是,潜力发展用户,
U00002871,男,46,,否,高价值沉睡用户,
U00002872,男,27,,否,高价值沉睡用户,
U00002873,女,35,,是,高价值沉睡用户,
U00002874,男,49,,否,潜力发展用户,
U00002875,女,36,,否,高价值沉睡用户,
U00002876,男,18,,否,潜力发展用户,
U00002877,女,24,,是,核心价值用户,
U00002878,女,37,,否,高价值沉睡用户,
U00002879,男,26,,是,潜力发展用户,
U00002880,女,60,,是,潜力发展用户,
U00002881,男,20,,是,潜力发展用户,
U00002882,女,32,,是,低价值/流失用户,
U00002883,男,53,,否,潜力发展用户,
U00002884,女,19,,否,潜力发展用户,
U00002885,女,44,,否,潜力发展用户,
U00002886,女,54,,是,潜力发展用户,
U00002887,女,34,,否,高价值沉睡用户,
U00002888,女,54,,否,潜力发展用户,
U00002889,女,21,,否,核心价值用户,
U00002890,女,22,,否,潜力发展用户,
U00002891,女,53,,是,潜力发展用户,
U00002892,女,57,,否,潜力发展用户,
U00002893,女,54,,是,低价值/流失用户,
U00002894,男,54,,否,高价值沉睡用户,
U00002895,男,52,,是,高价值沉睡用户,
U00002896,女,28,,否,低价值/流失用户,
U00002897,男,48,,否,高价值沉睡用户,
U00002898,女,61,,否,高价值沉睡用户,
U00002899,女,26,,否,潜力发展用户,
U00002900,女,40,,否,核心价值用户,
U00002901,男,31,,否,高价值沉睡用户,
U00002902,女,56,,否,潜力发展用户,
U00002903,男,28,,否,潜力发展用户,
U00002904,男,25,,是,核心价值用户,
U00002905,女,43,,是,核心价值用户,
U00002906,女,62,,是,低价值/流失用户,
U00002907,女,36,,是,低价值/流失用户,
U00002908,女,19,,否,潜力发展用户,
U00002909,男,41,,否,潜力发展用户,
U00002910,女,64,,否,低价值/流失用户,
U00002911,女,29,,是,核心价值用户,
U00002912,女,48,,是,潜力发展用户,
U00002913,男,59,,否,低价值/流失用户,
U00002914,男,51,,否,低价值/流失用户,
U00002915,女,19,,否,潜力发展用户,
U00002916,男,18,,是,核心价值用户,
U00002917,女,56,,是,高价值沉睡用户,
U00002918,女,23,,是,高价值沉睡用户,
U00002919,男,45,,否,潜力发展用户,
U00002920,女,27,,否,核心价值用户,
U00002921,女,40,,是,核心价值用户,
U00002922,男,55,,是,核心价值用户,
U00002923,男,56,,否,高价值沉睡用户,
U00002924,女,29,,否,潜力发展用户,
U00002925,女,22,,是,核心价值用户,
U00002926,女,20,,否,核心价值用户,
U00002927,女,61,,是,潜力发展用户,
U00002928,女,22,,是,核心价值用户,
U00002929,男,21,,否,高价值沉睡用户,
U00002930,女,25,,是,潜力发展用户,
U00002931,女,57,,否,潜力发展用户,
U00002932,女,24,,是,核心价值用户,
U00002933,男,58,,否,潜力发展用户,
U00002934,男,48,,否,核心价值用户,
U00002935,女,43,,否,潜力发展用户,
U00002936,女,29,,是,高价值沉睡用户,
U00002937,女,19,,是,潜力发展用户,
U00002938,男,59,,是,潜力发展用户,
U00002939,男,28,,否,高价值沉睡用户,
U00002940,女,55,,是,潜力发展用户,
U00002941,男,59,,是,低价值/流失用户,
U00002942,女,23,,否,潜力发展用户,
U00002943,女,39,,否,高价值沉睡用户,
U00002944,男,34,,否,高价值沉睡用户,
U00002945,男,52,,否,低价值/流失用户,
U00002946,女,32,,否,高价值沉睡用户,
U00002947,女,36,,否,核心价值用户,
U00002948,女,63,,是,潜力发展用户,
U00002949,女,25,,否,核心价值用户,
U00002950,女,54,,否,核心价值用户,
U00002951,女,62,,否,核心价值用户,
U00002952,女,39,,否,核心价值用户,
U00002953,男,64,,否,高价值沉睡用户,
U00002954,男,56,,否,潜力发展用户,
U00002955,女,27,,否,高价值沉睡用户,
U00002956,女,61,,否,核心价值用户,
U00002957,女,35,,否,低价值/流失用户,
U00002958,男,45,,是,高价值沉睡用户,
U00002959,女,23,,否,核心价值用户,
U00002960,男,44,,否,潜力发展用户,
U00002961,男,62,,是,低价值/流失用户,
U00002962,女,40,,否,潜力发展用户,
U00002963,女,56,,是,潜力发展用户,
U00002964,女,59,,是,高价值沉睡用户,
U00002965,男,38,,否,核心价值用户,
U00002966,女,50,,否,高价值沉睡用户,
U00002967,女,64,,是,潜力发展用户,
U00002968,女,57,,否,核心价值用户,
U00002969,女,50,,是,高价值沉睡用户,
U00002970,男,28,,否,潜力发展用户,
U00002971,女,52,,是,潜力发展用户,
U00002972,女,29,,是,潜力发展用户,
U00002973,男,58,,否,低价值/流失用户,
U00002974,女,28,,是,核心价值用户,
U00002975,女,31,,否,高价值沉睡用户,
U00002976,男,27,,是,潜力发展用户,
U00002977,女,37,,否,高价值沉睡用户,
U00002978,女,44,,否,核心价值用户,
U00002979,女,44,,否,低价值/流失用户,
U00002980,女,29,,否,高价值沉睡用户,
U00002981,男,18,,是,高价值沉睡用户,
U00002982,女,37,,是,潜力发展用户,
U00002983,女,32,,是,高价值沉睡用户,
U00002984,男,35,,否,潜力发展用户,
U00002985,男,62,,是,高价值沉睡用户,
U00002986,女,26,,否,高价值沉睡用户,
U00002987,女,34,,否,核心价值用户,
U00002988,女,46,,否,潜力发展用户,
U00002989,女,21,,是,潜力发展用户,
U00002990,男,36,,是,核心价值用户,
U00002991,男,49,,是,高价值沉睡用户,
U00002992,男,22,,是,潜力发展用户,
U00002993,女,42,,是,低价值/流失用户,
U00002994,女,19,,是,核心价值用户,
U00002995,男,49,,是,核心价值用户,
U00002996,女,29,,是,核心价值用户,
U00002997,女,45,,是,核心价值用户,
U00002998,女,42,,否,高价值沉睡用户,
U00002999,女,40,,是,低价值/流失用户,
U00003000,女,28,,是,潜力发展用户,
U00003001,女,39,,否,核心价值用户,
U00003002,女,39,,否,高价值沉睡用户,
U00003003,女,65,,否,核心价值用户,
U00003004,男,60,,否,高价值沉睡用户,
U00003005,女,28,,否,核心价值用户,
U00003006,女,25,,否,核心价值用户,
U00003007,女,20,,否,核心价值用户,
U00003008,女,25,,是,高价值沉睡用户,
U00003009,女,21,,否,潜力发展用户,
U00003010,女,65,,否,潜力发展用户,
U00003011,女,57,,否,核心价值用户,
U00003012,男,20,,是,高价值沉睡用户,
U00003013,男,58,,否,潜力发展用户,
U00003014,女,62,,否,核心价值用户,
U00003015,男,35,,是,核心价值用户,
U00003016,女,65,,是,潜力发展用户,
U00003017,女,22,,是,高价值沉睡用户,
U00003018,女,35,,否,核心价值用户,
U00003019,女,45,,否,高价值沉睡用户,
U00003020,女,64,,是,低价值/流失用户,
U00003021,男,54,,是,高价值沉睡用户,
U00003022,女,21,,是,潜力发展用户,
U00003023,女,39,,否,核心价值用户,
U00003024,女,59,,是,核心价值用户,
U00003025,女,49,,否,高价值沉睡用户,
U00003026,女,28,,是,核心价值用户,
U00003027,女,28,,否,核心价值用户,
U00003028,男,27,,否,核心价值用户,
U00003029,女,30,,否,高价值沉睡用户,
U00003030,女,47,,否,潜力发展用户,
U00003031,女,57,,否,潜力发展用户,
U00003032,女,43,,否,低价值/流失用户,
U00003033,女,44,,否,高价值沉睡用户,
U00003034,女,41,,否,高价值沉睡用户,
U00003035,女,41,,否,潜力发展用户,
U00003036,男,48,,否,高价值沉睡用户,
U00003037,女,18,,否,潜力发展用户,
U00003038,女,44,,否,核心价值用户,
U00003039,女,18,,是,核心价值用户,
U00003040,男,59,,是,核心价值用户,
U00003041,女,24,,否,潜力发展用户,
U00003042,女,32,,否,核心价值用户,
U00003043,男,32,,否,高价值沉睡用户,
U00003044,女,22,,是,高价值沉睡用户,
U00003045,女,39,,是,潜力发展用户,
U00003046,女,26,,是,核心价值用户,
U00003047,男,22,,否,潜力发展用户,
